idx,comp_url,pdf_url
116,https://www.annualreports.com//Company/acurx-pharmaceuticals-inc,https://www.annualreports.com//Click/35464
117,https://www.annualreports.com//Company/acushnet-holdings-corp,https://www.annualreports.com//Click/27291
118,https://www.annualreports.com//Company/acutus-medical-inc,https://www.annualreports.com//Click/35305
119,https://www.annualreports.com//Company/acv-auctions-inc,https://www.annualreports.com//Click/35721
120,https://www.annualreports.com//Company/acxiom-corporation,https://www.annualreports.com//Click/7536
121,https://www.annualreports.com//Company/holding,https://www.annualreports.com//Click/32197
122,https://www.annualreports.com//Company/adairs-limited,https://www.annualreports.com//Click/31311
123,https://www.annualreports.com//Company/adAlta,https://www.annualreports.com//Click/32183
124,https://www.annualreports.com//Company/adamas-one-corp,https://www.annualreports.com//Click/35899
125,https://www.annualreports.com//Company/adamas-pharmaceuticals-inc,https://www.annualreports.com//Click/19527
126,https://www.annualreports.com//Company/adamis-pharmaceuticals-corp,https://www.annualreports.com//Click/20306
127,https://www.annualreports.com//Company/adams-diversified-equity-fund-inc,https://www.annualreports.com//Click/27293
128,https://www.annualreports.com//Company/adams-plc,https://www.annualreports.com//Click/30917
129,https://www.annualreports.com//Company/adams-resources-energy-inc,https://www.annualreports.com//Click/22253
130,https://www.annualreports.com//Company/adapthealth-corp,https://www.annualreports.com//Click/28047
131,https://www.annualreports.com//Company/adaptimmune-therapeutics,https://www.annualreports.com//Click/26791
132,https://www.annualreports.com//Company/adaptivei-biotechnologies-corporation,https://www.annualreports.com//Click/28045
133,https://www.annualreports.com//Company/addex-pharmaceuticals,https://www.annualreports.com//Click/13951
134,https://www.annualreports.com//Company/addLife-ab,https://www.annualreports.com//Click/30110
135,https://www.annualreports.com//Company/addtech-ab,https://www.annualreports.com//Click/30370
136,https://www.annualreports.com//Company/addus-homecare-corporation,https://www.annualreports.com//Click/20307
137,https://www.annualreports.com//Company/addvantage-technologies-group-inc,https://www.annualreports.com//Click/35368
138,https://www.annualreports.com//Company/adeia-inc,https://www.annualreports.com//Click/35723
139,https://www.annualreports.com//Company/adelaide-brighton-limited,https://www.annualreports.com//Click/6387
140,https://www.annualreports.com//Company/adentra,https://www.annualreports.com//Click/26229
141,https://www.annualreports.com//Company/adept-technology-group-plc,https://www.annualreports.com//Click/30921
142,https://www.annualreports.com//Company/adesto-technologies-corporation,https://www.annualreports.com//Click/28048
143,https://www.annualreports.com//Company/adf-group-inc,https://www.annualreports.com//Click/27195
144,https://www.annualreports.com//Company/adherium,https://www.annualreports.com//Click/32200
145,https://www.annualreports.com//Company/adial-pharmaceuticals-inc,https://www.annualreports.com//Click/34933
146,https://www.annualreports.com//Company/adicet-bio-inc,https://www.annualreports.com//Click/35480
147,https://www.annualreports.com//Company/adidas-ag,https://www.annualreports.com//Click/13209
148,https://www.annualreports.com//Company/adient-plc,https://www.annualreports.com//Click/26609
149,https://www.annualreports.com//Company/adler-modemaerkte-ag,https://www.annualreports.com//Click/30091
150,https://www.annualreports.com//Company/adm-energy,https://www.annualreports.com//Click/30922
151,https://www.annualreports.com//Company/adma-biologics,https://www.annualreports.com//Click/20292
152,https://www.annualreports.com//Company/admiral-group-plc,NO_PDF
153,https://www.annualreports.com//Company/admiralty-resources,https://www.annualreports.com//Click/32228
154,https://www.annualreports.com//Company/adobe-systems-inc,https://www.annualreports.com//Click/24659
155,https://www.annualreports.com//Company/adrabbit-limited-apps,https://www.annualreports.com//Click/32247
156,https://www.annualreports.com//Company/adriatic-metals,https://www.annualreports.com//Click/30923
157,https://www.annualreports.com//Company/adslot-limited,https://www.annualreports.com//Click/31314
158,https://www.annualreports.com//Company/adt-corp,https://www.annualreports.com//Click/25182
159,https://www.annualreports.com//Company/adtalem-global-education-inc,https://www.annualreports.com//Click/24894
160,https://www.annualreports.com//Company/adtheorent-holding-company-inc,https://www.annualreports.com//Click/35679
161,https://www.annualreports.com//Company/adtran-inc,https://www.annualreports.com//Click/3697
162,https://www.annualreports.com//Company/adva,https://www.annualreports.com//Click/30024
163,https://www.annualreports.com//Company/advance-auto-parts-inc,NO_PDF
164,https://www.annualreports.com//Company/advance-energy-plc,https://www.annualreports.com//Click/30914
165,https://www.annualreports.com//Company/advanced-braking-technology-limited,https://www.annualreports.com//Click/32198
166,https://www.annualreports.com//Company/advanced-disposal-services-inc,https://www.annualreports.com//Click/22607
167,https://www.annualreports.com//Company/advanced-drainage-systems-inc,https://www.annualreports.com//Click/24436
168,https://www.annualreports.com//Company/advanced-emissions-solutions-inc,https://www.annualreports.com//Click/28051
169,https://www.annualreports.com//Company/advanced-energy,https://www.annualreports.com//Click/19040
170,https://www.annualreports.com//Company/advanced-medical-solutions-group-plc,https://www.annualreports.com//Click/30476
171,https://www.annualreports.com//Company/advanced-micro-devices-inc,https://www.annualreports.com//Click/3361
172,https://www.annualreports.com//Company/advanced-oncotherapy,https://www.annualreports.com//Click/30573
173,https://www.annualreports.com//Company/advanced-share-registry,https://www.annualreports.com//Click/32293
174,https://www.annualreports.com//Company/advansix,https://www.annualreports.com//Click/26706
175,https://www.annualreports.com//Company/advantage-oil-gas-ltd,https://www.annualreports.com//Click/24092
176,https://www.annualreports.com//Company/advantage-solutions-inc,https://www.annualreports.com//Click/35707
177,https://www.annualreports.com//Company/advanz-pharma-corp,https://www.annualreports.com//Click/33475
178,https://www.annualreports.com//Company/advaxis-inc,https://www.annualreports.com//Click/33160
179,https://www.annualreports.com//Company/advent-technologies-holdings-inc,https://www.annualreports.com//Click/35122
180,https://www.annualreports.com//Company/adveritas-limited,https://www.annualreports.com//Click/32268
181,https://www.annualreports.com//Company/adverum-biotechnologies-inc,https://www.annualreports.com//Click/24607
182,https://www.annualreports.com//Company/adx-energy,https://www.annualreports.com//Click/32227
183,https://www.annualreports.com//Company/aecom-technology-corporation,https://www.annualreports.com//Click/20827
184,https://www.annualreports.com//Company/aecon-group-inc,https://www.annualreports.com//Click/11355
185,https://www.annualreports.com//Company/aeeris,https://www.annualreports.com//Click/32221
186,https://www.annualreports.com//Company/aegion-corp,https://www.annualreports.com//Click/17036
187,https://www.annualreports.com//Company/aeglea-biotherapeutics-inc,https://www.annualreports.com//Click/33861
188,https://www.annualreports.com//Company/aegon-nv,https://www.annualreports.com//Click/6626
189,https://www.annualreports.com//Company/aehr-test-systems,https://www.annualreports.com//Click/24748
190,https://www.annualreports.com//Company/aemetis-inc,https://www.annualreports.com//Click/28056
191,https://www.annualreports.com//Company/aeorema-communications-plc,https://www.annualreports.com//Click/30916
192,https://www.annualreports.com//Company/aercap-holdings-nv,https://www.annualreports.com//Click/33841
193,https://www.annualreports.com//Company/aerie-pharmaceuticals-inc,https://www.annualreports.com//Click/33863
194,https://www.annualreports.com//Company/aeris-resources-limited,https://www.annualreports.com//Click/31331
195,https://www.annualreports.com//Company/aerison-group-ltd,https://www.annualreports.com//Click/31316
196,https://www.annualreports.com//Company/aerocentury-corp,https://www.annualreports.com//Click/26792
197,https://www.annualreports.com//Company/aerojet-rocketdyne-holdings-inc,https://www.annualreports.com//Click/33906
198,https://www.annualreports.com//Company/aerometrex-limited,https://www.annualreports.com//Click/31358
199,https://www.annualreports.com//Company/aerovate-therapeutics-inc,https://www.annualreports.com//Click/34540
200,https://www.annualreports.com//Company/aerovironment-inc,https://www.annualreports.com//Click/12847
201,https://www.annualreports.com//Company/aersale-inc,https://www.annualreports.com//Click/34739
202,https://www.annualreports.com//Company/aeterna-zentaris-inc,https://www.annualreports.com//Click/27186
203,https://www.annualreports.com//Company/aethlon-medical-inc,https://www.annualreports.com//Click/28059
204,https://www.annualreports.com//Company/aeva-technologies-inc,https://www.annualreports.com//Click/34529
205,https://www.annualreports.com//Company/aew-uk-reit-plc,https://www.annualreports.com//Click/30919
206,https://www.annualreports.com//Company/aeye-inc,https://www.annualreports.com//Click/35458
207,https://www.annualreports.com//Company/afarak-group,https://www.annualreports.com//Click/30809
208,https://www.annualreports.com//Company/afc-energy-plc,https://www.annualreports.com//Click/30918
209,https://www.annualreports.com//Company/afc-gamma-inc,https://www.annualreports.com//Click/35641
210,https://www.annualreports.com//Company/afentra-plc,https://www.annualreports.com//Click/30920
211,https://www.annualreports.com//Company/affiliated-managers-group-inc,https://www.annualreports.com//Click/20312
212,https://www.annualreports.com//Company/affimed-nv,https://www.annualreports.com//Click/24149
213,https://www.annualreports.com//Company/affinity-bancshares-inc,https://www.annualreports.com//Click/36093
214,https://www.annualreports.com//Company/affirm-holdings-inc,https://www.annualreports.com//Click/35917
215,https://www.annualreports.com//Company/afg-arbonia-forster-holding-ag,https://www.annualreports.com//Click/30564
216,https://www.annualreports.com//Company/aflac-inc,https://www.annualreports.com//Click/1383
217,https://www.annualreports.com//Company/african-energy-resources,https://www.annualreports.com//Click/32217
218,https://www.annualreports.com//Company/afterpay-limited,https://www.annualreports.com//Click/31371
219,https://www.annualreports.com//Company/afya-limited,https://www.annualreports.com//Click/28061
220,https://www.annualreports.com//Company/ag-growth-international-inc,https://www.annualreports.com//Click/24150
221,https://www.annualreports.com//Company/ag-mortgage-investment-trust-inc,https://www.annualreports.com//Click/30165
222,https://www.annualreports.com//Company/agc-inc,https://www.annualreports.com//Click/13303
223,https://www.annualreports.com//Company/agco-corporation,https://www.annualreports.com//Click/22013
224,https://www.annualreports.com//Company/ageagle-aerial-systems-inc,https://www.annualreports.com//Click/34642
225,https://www.annualreports.com//Company/agenus-inc,https://www.annualreports.com//Click/20313
226,https://www.annualreports.com//Company/agex-therapeutics-inc,https://www.annualreports.com//Click/34697
227,https://www.annualreports.com//Company/aggreko-plc,https://www.annualreports.com//Click/6038
228,https://www.annualreports.com//Company/agile-therapeutics-inc,https://www.annualreports.com//Click/33163
229,https://www.annualreports.com//Company/agilent-technologies-inc,https://www.annualreports.com//Click/26794
230,https://www.annualreports.com//Company/agilethought-inc,https://www.annualreports.com//Click/35529
231,https://www.annualreports.com//Company/agiliti-inc,https://www.annualreports.com//Click/34888
232,https://www.annualreports.com//Company/agility,https://www.annualreports.com//Click/29714
233,https://www.annualreports.com//Company/agilon-health-inc,https://www.annualreports.com//Click/34961
234,https://www.annualreports.com//Company/agilysys-inc,https://www.annualreports.com//Click/20314
235,https://www.annualreports.com//Company/agios-pharmaceuticals,https://www.annualreports.com//Click/26795
236,https://www.annualreports.com//Company/agjunction,https://www.annualreports.com//Click/26248
237,https://www.annualreports.com//Company/agl-energy-limited,https://www.annualreports.com//Click/6393
238,https://www.annualreports.com//Company/agm-group-holdings-inc,https://www.annualreports.com//Click/28062
239,https://www.annualreports.com//Company/agnc-investment-corp,https://www.annualreports.com//Click/21402
240,https://www.annualreports.com//Company/agnico-eagle-mines-ltd,https://www.annualreports.com//Click/24094
241,https://www.annualreports.com//Company/agree-realty-corporation-1,https://www.annualreports.com//Click/33165
242,https://www.annualreports.com//Company/agricultural-land-trust,https://www.annualreports.com//Click/32214
243,https://www.annualreports.com//Company/agriforce-growing-systems-ltd,https://www.annualreports.com//Click/35525
244,https://www.annualreports.com//Company/agrify-corporation,https://www.annualreports.com//Click/35111
245,https://www.annualreports.com//Company/agrimin-limited,https://www.annualreports.com//Click/32258
246,https://www.annualreports.com//Company/agriterra-ltd,https://www.annualreports.com//Click/30924
247,https://www.annualreports.com//Company/agrofresh-solution-inc,https://www.annualreports.com//Click/28065
248,https://www.annualreports.com//Company/aguia-resource,https://www.annualreports.com//Click/32210
249,https://www.annualreports.com//Company/ahlsell,https://www.annualreports.com//Click/30529
250,https://www.annualreports.com//Company/ai-media-technologies-limited,https://www.annualreports.com//Click/31325
251,https://www.annualreports.com//Company/aia-group-limited,https://www.annualreports.com//Click/27527
252,https://www.annualreports.com//Company/aiful-corp,https://www.annualreports.com//Click/20548
253,https://www.annualreports.com//Company/aileron-therapeutics-inc,https://www.annualreports.com//Click/28064
254,https://www.annualreports.com//Company/aim-immunotech-inc,https://www.annualreports.com//Click/34691
255,https://www.annualreports.com//Company/aimmune-therapeutics-inc,https://www.annualreports.com//Click/28067
256,https://www.annualreports.com//Company/ainsworth-game-technology-limited,https://www.annualreports.com//Click/25185
257,https://www.annualreports.com//Company/aiq-limited,https://www.annualreports.com//Click/30928
258,https://www.annualreports.com//Company/air-canada,https://www.annualreports.com//Click/11162
259,https://www.annualreports.com//Company/air-industries-group,https://www.annualreports.com//Click/34593
260,https://www.annualreports.com//Company/air-lease-corp,https://www.annualreports.com//Click/18752
261,https://www.annualreports.com//Company/air-partner,https://www.annualreports.com//Click/30812
262,https://www.annualreports.com//Company/air-products-chemicals-inc,https://www.annualreports.com//Click/4600
263,https://www.annualreports.com//Company/air-t-inc,https://www.annualreports.com//Click/30166
264,https://www.annualreports.com//Company/air-transport-services-group-inc,https://www.annualreports.com//Click/21889
265,https://www.annualreports.com//Company/airbnb-inc,https://www.annualreports.com//Click/35861
266,https://www.annualreports.com//Company/airboss-of-america-corp,https://www.annualreports.com//Click/27081
267,https://www.annualreports.com//Company/aircastle-limited,https://www.annualreports.com//Click/33167
268,https://www.annualreports.com//Company/airgain-inc,https://www.annualreports.com//Click/35370
269,https://www.annualreports.com//Company/airnet-technology-inc,https://www.annualreports.com//Click/28070
270,https://www.annualreports.com//Company/airsculpt-technologies-inc,https://www.annualreports.com//Click/35556
271,https://www.annualreports.com//Company/airspan-networks-holdings-inc,https://www.annualreports.com//Click/34824
272,https://www.annualreports.com//Company/airtel-africa,https://www.annualreports.com//Click/30575
273,https://www.annualreports.com//Company/aj-bell,https://www.annualreports.com//Click/30530
274,https://www.annualreports.com//Company/aj-lucas-group-lmited,https://www.annualreports.com//Click/32216
275,https://www.annualreports.com//Company/akamai-technologies-inc,https://www.annualreports.com//Click/22173
276,https://www.annualreports.com//Company/akari-therapeutics-plc,https://www.annualreports.com//Click/28073
277,https://www.annualreports.com//Company/akastor-asa,https://www.annualreports.com//Click/30417
278,https://www.annualreports.com//Company/akcea-therapeutics-inc,https://www.annualreports.com//Click/28074
279,https://www.annualreports.com//Company/akebia-therapeutics-inc,https://www.annualreports.com//Click/33168
280,https://www.annualreports.com//Company/aker-bp,https://www.annualreports.com//Click/34419
281,https://www.annualreports.com//Company/akerna-corp,https://www.annualreports.com//Click/28076
282,https://www.annualreports.com//Company/akero-therapeutics-inc,https://www.annualreports.com//Click/28078
283,https://www.annualreports.com//Company/akili-inc,https://www.annualreports.com//Click/35568
284,https://www.annualreports.com//Company/akita-drilling-ltd,https://www.annualreports.com//Click/27176
285,https://www.annualreports.com//Company/akka-technologies,https://www.annualreports.com//Click/30472
286,https://www.annualreports.com//Company/akora-resources-limited,https://www.annualreports.com//Click/32232
287,https://www.annualreports.com//Company/akorn-inc,https://www.annualreports.com//Click/7568
288,https://www.annualreports.com//Company/akoustis-technologies-inc,https://www.annualreports.com//Click/28081
289,https://www.annualreports.com//Company/akoya-biosciences-inc,https://www.annualreports.com//Click/35647
290,https://www.annualreports.com//Company/aktia,https://www.annualreports.com//Click/30043
291,https://www.annualreports.com//Company/akzo-nobel-nv,https://www.annualreports.com//Click/12946
292,https://www.annualreports.com//Company/alabama-power-company,https://www.annualreports.com//Click/33170
293,https://www.annualreports.com//Company/alamo-group-inc,https://www.annualreports.com//Click/20274
294,https://www.annualreports.com//Company/alara-resources-limited,https://www.annualreports.com//Click/32266
295,https://www.annualreports.com//Company/Alaris-Royalty-Corp,https://www.annualreports.com//Click/18121
296,https://www.annualreports.com//Company/alarmcom-holdings-inc,https://www.annualreports.com//Click/33668
297,https://www.annualreports.com//Company/alaska-air-group-inc,https://www.annualreports.com//Click/1020
298,https://www.annualreports.com//Company/alaska-communications-systems-group-inc,https://www.annualreports.com//Click/20317
299,https://www.annualreports.com//Company/alaunos-therapeutic,https://www.annualreports.com//Click/20155
300,https://www.annualreports.com//Company/alba-mineral-resources-plc,https://www.annualreports.com//Click/30929
301,https://www.annualreports.com//Company/albany-international-corp,https://www.annualreports.com//Click/7574
302,https://www.annualreports.com//Company/albemarle-corporation,https://www.annualreports.com//Click/21951
303,https://www.annualreports.com//Company/alberta-investment-management-corporation,https://www.annualreports.com//Click/33670
304,https://www.annualreports.com//Company/alberton-acquisition-corporation,https://www.annualreports.com//Click/28083
305,https://www.annualreports.com//Company/albertsons-companies-inc,https://www.annualreports.com//Click/33149
306,https://www.annualreports.com//Company/albion-development-vct-plc,https://www.annualreports.com//Click/30931
307,https://www.annualreports.com//Company/albion-enterprise-vct-plc,https://www.annualreports.com//Click/30932
308,https://www.annualreports.com//Company/albion-resources-limited,https://www.annualreports.com//Click/32245
309,https://www.annualreports.com//Company/albion-venture-capital-trust-plc,https://www.annualreports.com//Click/24151
310,https://www.annualreports.com//Company/albireo-pharma-inc,https://www.annualreports.com//Click/28084
311,https://www.annualreports.com//Company/alchemy-resources-limited,https://www.annualreports.com//Click/32250
312,https://www.annualreports.com//Company/alcidion-group-limited,https://www.annualreports.com//Click/31336
313,https://www.annualreports.com//Company/alcoa-inc,https://www.annualreports.com//Click/7571
314,https://www.annualreports.com//Company/alcon-inc,https://www.annualreports.com//Click/27296
315,https://www.annualreports.com//Company/alder-biopharmaceuticals-inc,https://www.annualreports.com//Click/17049
316,https://www.annualreports.com//Company/alderan-resources-limited,https://www.annualreports.com//Click/32241
